id,propertyType,forSale,price,location,preciseLocation,squareFootage,propertySquareFootage,yearOfBuilding,floor,totalFloors,inRegistry,heating,numberOfRooms,numberOfToilets,parking,hasElevator,hasTerrace
49485,1,1,79300,"Novi Sad","Gradske lokacije",70,NULL,2020,0,4,NULL,"grejanje na gas",3,NULL,NULL,1,1
46689,1,1,79200,"Novi Sad","Gradske lokacije",52,NULL,2020,0,4,NULL,"grejanje na gas",2.5,NULL,NULL,1,1
21011,1,1,79100,"Novi Sad","Gradske lokacije",43,NULL,2020,3,3,NULL,"grejanje na gas",1.5,NULL,NULL,1,1
21039,1,1,79100,"Novi Sad","Gradske lokacije",45,NULL,2020,3,3,NULL,"grejanje na gas",2,NULL,NULL,1,1
41048,1,1,79100,Nis,"Gradske lokacije",75,NULL,2020,2,NULL,NULL,"etazno grejanje",3,2,NULL,1,1
41316,1,1,79100,Nis,"Gradske lokacije",75,NULL,2020,1,NULL,NULL,"etazno grejanje",3,2,NULL,NULL,1
46816,1,1,79100,"Novi Sad","Gradske lokacije",48,NULL,2020,3,4,NULL,"grejanje na gas",2,NULL,NULL,1,1
46831,1,1,79100,"Novi Sad","Gradske lokacije",48,NULL,2020,1,4,NULL,"grejanje na gas",2,NULL,NULL,1,1
46955,1,1,79100,"Novi Sad","Gradske lokacije",48,NULL,2020,2,4,NULL,"grejanje na gas",2,NULL,NULL,1,1
41653,1,1,79000,"Novi Sad","Gradske lokacije",59,NULL,2020,0,3,NULL,NULL,3,NULL,NULL,1,1
49570,1,1,79000,"Novi Sad","Gradske lokacije",59,NULL,2020,1,5,1,"centralno grejanje",2.5,NULL,NULL,1,1
59301,1,1,79000,Zlatibor,"Gradske lokacije",70,NULL,2020,4,5,1,"etazno grejanje",4,NULL,1,1,1
43224,1,1,78900,"Novi Sad","Gradske lokacije",38,NULL,2020,1,3,NULL,"centralno grejanje",2,NULL,NULL,1,1
51771,1,1,78800,"Novi Sad","Gradske lokacije",51,NULL,2020,1,5,NULL,"grejanje na gas",3,NULL,NULL,1,1
51821,1,1,78800,"Novi Sad","Gradske lokacije",51,NULL,2020,1,4,NULL,"grejanje na gas",3,NULL,NULL,1,1
49709,1,1,78750,"Novi Sad","Gradske lokacije",61,NULL,2020,1,4,NULL,"grejanje na gas",2.5,NULL,NULL,1,1
49719,1,1,78750,"Novi Sad","Gradske lokacije",61,NULL,2020,2,4,NULL,"grejanje na gas",2.5,NULL,NULL,1,1
49797,1,1,78750,"Novi Sad","Gradske lokacije",61,NULL,2020,3,4,NULL,"grejanje na gas",2.5,NULL,NULL,1,1
49846,1,1,78750,"Novi Sad","Gradske lokacije",61,NULL,2020,4,4,NULL,"grejanje na gas",2.5,NULL,NULL,1,1
